Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,"Орехи (грецкий орех, миндаль, фундук)",6223,600,Бакалея,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",1994-04-02,2017-01-10,3.84:,Shipping
2,Сельдерей,2430,776,Овощи,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2019-05-09,2026-09-14,4.19:,Awaiting Payment
3,Пакеты для Дня независимости,7604,251,Товары для дома,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2010-03-02,2024-03-02,3.51:,Awaiting Review
4,Мята перечная сушеная,4861,106,Бакалея,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2000-02-05,2009-05-09,1.07:,New
5,Каша из перловки,8611,815,Бакалея,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2012-06-01,2017-01-01,3.98:,Temporarily Unavailable
6,Петрушка корневая,8840,608,Овощи,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2003-08-08,2021-06-02,2.36:,In Stock
7,Конфи,575,261,Мясо,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2019-02-14,2029-02-26,1.35:,Refunded
8,Темный шоколад,596,511,Бакалея,Помогает сохранять бодрость и активность в течение дня.,2014-02-08,2022-01-01,4.44:,In Stock
9,Пастернак,983,851,Овощи,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2001-06-02,2012-03-01,3.73:,Out of Stock
10,Индюшатина,8340,779,Мясо,"Является источником важных микроэлементов, таких как магний и калий.",2008-02-03,2030-10-04,1.74:,In Stock
11,Кунжут черный,9328,602,Бакалея,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1993-05-05,1995-03-02,4.26:,Cancelled
12,Печень,4275,716,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2000-03-04,2015-09-08,4.1:,Out of Stock
13,Огурец,4201,675,Овощи,Может использоваться в косметических процедурах для увлажнения кожи.,2020-05-03,2024-05-02,0.21:,Temporarily Unavailable
14,Pepsi Max,9648,910,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2006-03-11,2008-01-04,1.37:,Pending
15,Шалфей сушеный,8214,934,Бакалея,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2009-02-09,2014-03-01,4.81:,Backorder
16,Талицкая,2451,460,Напитки,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1999-08-11,2014-03-01,0.38:,In Stock
17,Пахта,5747,338,Молочные продукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,2022-05-08,2024-05-02,2.05:,Refunded
18,Полотенца для рук,8316,290,Товары для дома,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2010-06-12,2029-05-05,1.29:,Delivered
19,Смородина,3288,612,Фрукты,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2008-01-08,2017-02-09,2.94:,Temporarily Unavailable
20,Пастернак,1087,941,Овощи,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1998-02-05,2006-01-03,1.53:,In Stock
21,Айран,5420,585,Молочные продукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1994-09-08,2001-02-15,3.79:,Pending
22,Масала чай,8097,865,Напитки,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2017-01-05,2025-01-13,3.77:,Out of Stock
23,Косулятина,2643,260,Мясо,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1999-06-04,2012-02-01,2.52:,Awaiting Payment
24,Спаржа,5587,99,Овощи,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2019-01-03,2023-04-02,2.83:,In Stock
25,Кукуруза консервированная,9954,164,Бакалея,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2008-02-03,2017-02-17,2.93:,Awaiting Review
26,Каймак,3905,558,Молочные продукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2018-06-13,2030-01-04,2.9:,New
27,Балык,9016,270,Мясо,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2011-06-07,2022-09-06,4.89:,Shipping
28,Лук-порей,7133,706,Овощи,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1998-04-03,2027-03-10,4.41:,Shipping
29,Айва,4697,201,Фрукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2020-03-05,2028-03-17,0.71:,New
30,Каша из камута,6271,916,Бакалея,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",1998-10-08,2001-08-15,3.11:,Shipping
31,Цукини,1989,498,Овощи,Помогает укреплять стенки сосудов и улучшать кровообращение.,2017-05-06,2030-02-04,0.75:,Awaiting Review
32,Энчиладас с мясом,5000,538,Мясо,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2011-04-03,2025-08-04,0.59:,Cancelled
33,Сметана,8743,713,Молочные продукты,Помогает поддерживать нормальный уровень кислотности желудка.,1998-01-02,2027-02-09,4.65:,Temporarily Unavailable
34,Чечевица,4312,741,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2015-02-17,2024-05-01,2.03:,On Backorder
35,Мармелад,1435,262,Бакалея,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2019-02-02,2019-03-08,3.69:,Sold
36,Цукини,2976,911,Овощи,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2017-05-20,2021-05-03,2.21:,Cancelled
37,Российский сыр,6942,197,Молочные продукты,Отличается высокой питательностью и способен быстро утолить голод.,2008-04-08,2017-03-20,1.43:,Returned
38,Растительное масло рапсовое,8400,891,Бакалея,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2014-03-01,2023-07-11,2.93:,Out of Stock
39,Хурма,2274,920,Фрукты,Подходит для людей с чувствительным пищеварением.,2008-07-14,2025-03-02,4.33:,Refunded
40,Кашинская,5195,488,Напитки,Помогает поддерживать нормальный уровень pH в организме.,2015-01-07,2023-05-11,0.15:,New
41,Окра,9190,844,Овощи,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2018-04-05,2026-03-06,2.88:,Pending
42,Цветная капуста,5758,419,Овощи,Подходит для использования в специализированных диетах и лечебных программах.,2010-10-04,2014-01-06,4.38:,Refunded
43,Сервелат,6959,482,Мясо,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2011-01-11,2022-06-21,3.44:,Cancelled
44,Чеддер,9360,26,Молочные продукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2015-10-07,2024-05-06,3.18:,Awaiting Review
45,Подносы,1135,698,Товары для дома,Помогает укреплять стенки сосудов и улучшать кровообращение.,1991-02-07,1996-01-01,1.15:,Temporarily Unavailable
46,Кольраби,7891,955,Овощи,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2000-02-02,2004-08-07,3.56:,Pending
47,Айран,3200,828,Молочные продукты,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2017-01-01,2028-03-01,2.27:,Returned
48,Бамия,9182,627,Овощи,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1995-10-04,1999-10-03,0.67:,Shipping
49,Пакеты для Рождества,7059,579,Товары для дома,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,1995-03-01,2002-04-17,1.25:,Sold
50,Мацони,3549,778,Молочные продукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2015-02-17,2025-07-01,4.93:,Temporarily Unavailable
51,Камамбер,9560,51,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,2019-04-05,2021-10-10,0.4:,In Stock
52,Мускатный орех молотый,4509,896,Бакалея,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2018-07-04,2030-06-09,0.84:,Awaiting Payment
53,Coca-Cola Zero,2771,978,Напитки,Отличается способностью повышать общий тонус и работоспособность.,2019-01-12,2022-02-07,1.03:,Sold
54,Молоко,1541,753,Молочные продукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1997-05-12,2008-01-05,0.67:,Refunded
55,Черешня,5509,88,Фрукты,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1995-03-03,2018-01-09,4.06:,Temporarily Unavailable
56,Каша из пшеницы спельты,4997,8,Бакалея,Прошел все необходимые сертификации и соответствует международным стандартам.,2004-04-03,2005-02-06,3.6:,Out of Stock
57,Баклажан,6395,104,Овощи,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2004-05-02,2015-03-02,3.17:,Pending
58,Каша из дробленной булгурной крупы,123,749,Бакалея,Помогает поддерживать нормальный уровень pH в организме.,2001-01-02,2004-02-14,4.51:,Temporarily Unavailable
59,Томская,9958,271,Напитки,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2005-02-01,2016-01-21,3.48:,Available for Pickup
60,Чай черный,2198,792,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2011-02-24,2015-03-13,0.88:,Delivered
61,Бекон,5811,513,Мясо,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2020-04-03,2028-01-28,1.65:,Backorder
62,Термосы,2737,898,Товары для дома,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2005-06-06,2008-07-09,1.34:,Awaiting Payment
63,Каша из пшена,3398,685,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2022-04-11,2030-02-03,1.8:,Awaiting Review
64,Тан,3065,666,Молочные продукты,Широко используется в традиционной и современной кухне.,2010-04-02,2018-02-03,0.23:,Awaiting Review
65,Мелисса сушеная,5032,586,Бакалея,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2009-04-04,2020-06-02,0.31:,Pending
66,Базилик сушеный,3909,514,Бакалея,Отличается удобством использования и экономичностью в расходе.,2012-01-11,2022-05-05,4.85:,Sold
67,Плавленые сырки,754,599,Бакалея,Помогает улучшить когнитивные функции и память.,2019-04-21,2020-06-01,3.19:,Delivered
68,Чоризо,441,578,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1993-01-04,2009-01-07,4.21:,Awaiting Payment
69,Патиссон,5761,764,Овощи,Помогает поддерживать нормальный уровень кислотности желудка.,1997-07-23,2021-01-21,2.32:,Out of Stock
70,Серебряный ключ,1763,768,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-01-21,2013-05-23,2.25:,Shipping
71,Груша,712,309,Фрукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2005-04-02,2016-02-09,1.03:,New
72,Тан,4485,451,Молочные продукты,Используется в косметологии для ухода за кожей и волосами.,2004-08-16,2016-03-05,0.46:,Refunded
73,Папайя,8050,176,Фрукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1996-02-08,2002-01-09,3.86:,Returned
74,Кофе эспрессо,4205,998,Напитки,Помогает нормализовать артериальное давление и уровень холестерина.,2004-04-16,2030-05-19,0.03:,Temporarily Unavailable
75,Озеро Медвежье,714,710,Напитки,Помогает укрепить иммунную систему и защитить организм от инфекций.,1991-03-16,2000-05-14,2.12:,Temporarily Unavailable
76,Пакеты для Дня матери,8993,296,Товары для дома,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1991-04-19,2014-03-07,1.25:,New
77,Рыбинская,3725,69,Напитки,"Подходит для использования в диетах, направленных на снижение веса.",2017-03-01,2024-03-12,0.41:,New
78,Кольраби,5737,502,Овощи,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1990-04-13,2010-11-04,2.44:,Sold
79,Мелисса сушеная,4526,994,Бакалея,Помогает предотвратить дефицит витаминов и минералов в организме.,2010-11-06,2026-03-17,1.64:,Sold
80,Яблоко,4503,816,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2021-06-01,2028-08-11,4.24:,Refunded
81,Мордовская,7497,168,Напитки,"Богат кальцием, необходимым для укрепления костей и зубов.",2008-01-04,2025-11-02,0.43:,Awaiting Review
82,Груша,4246,652,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2011-01-10,2030-01-06,4.16:,Delivered
83,Каша из дробленой кукурузы,9168,846,Бакалея,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2001-04-02,2013-09-08,0.11:,Awaiting Review
84,Выборгская,2926,288,Напитки,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2007-04-02,2014-04-04,2.18:,Shipping
85,Пакеты для библиотеки,2147,700,Товары для дома,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2007-06-04,2027-01-02,2.45:,Shipping
86,Комсомольская,9532,863,Напитки,Может использоваться в косметических процедурах для увлажнения кожи.,2003-09-08,2026-01-02,3.33:,In Stock
87,Сангрия безалкогольная,1764,638,Напитки,Помогает поддерживать нормальный обмен веществ и метаболизм.,2007-02-08,2020-03-04,1.33:,Out of Stock
88,Пакеты для выставки,1121,511,Товары для дома,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1999-04-09,2014-08-22,1.96:,Cancelled
89,BonAqua,3993,325,Напитки,Прошел сертификацию на соответствие требованиям органических стандартов.,2008-05-08,2020-01-14,1.83:,New
90,Дыня,2513,995,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2016-08-08,2027-03-03,4.32:,Pending
91,Евпатория,4761,680,Напитки,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2007-01-01,2028-01-14,1.34:,Pending
92,Банан,3358,837,Фрукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2000-02-11,2016-08-17,2.73:,Backorder
93,Пакеты для детских вещей,3796,912,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2015-03-09,2027-01-04,1.59:,On Backorder
94,Папайя,378,977,Фрукты,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2009-05-01,2021-04-11,1.93:,Delivered
95,Банан,6235,571,Фрукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2015-09-10,2025-05-06,1.69:,Available for Pickup
96,Российский сыр,5894,667,Молочные продукты,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1999-03-07,2010-02-06,3.82:,Delivered
97,Окра,2560,102,Овощи,Отличается высокими показателями усвояемости организмом.,2000-03-05,2000-04-09,3.37:,Delivered
98,Лимон,9813,403,Фрукты,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2006-02-07,2019-01-02,2.73:,Awaiting Review
99,Морс клюквенный,5509,539,Напитки,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1990-01-09,2021-01-04,1.26:,Cancelled
100,Айран,221,586,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,1995-04-05,1997-01-01,0.11:,New
101,Манты,4493,1000,Мясо,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2008-03-07,2009-01-17,2.65:,New
102,Блюдца,5826,699,Товары для дома,"Помогает улучшить состояние волос, ногтей и кожи.",1997-01-02,2008-01-03,0.51:,In Stock
103,Fantastic,4443,948,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2022-03-03,2024-01-04,2.43:,Returned
104,Квас хлебный,6872,449,Напитки,Отличается низкой калорийностью и высоким содержанием белка.,2008-07-09,2029-01-09,1.93:,Refunded
105,Кофеварка,308,719,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2006-03-20,2008-03-10,0.35:,Pending
106,Моцарелла,5175,1000,Молочные продукты,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2021-02-24,2028-02-13,1.74:,Delivered
107,Кефир,4499,574,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2004-04-10,2018-03-02,0.4:,Sold
108,Каша из дробленной гречки,9562,970,Бакалея,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2009-08-01,2029-09-08,1.79:,Cancelled
109,Пакеты для благотворительного мероприятия,8645,117,Товары для дома,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1999-02-05,2029-01-01,3.4:,Temporarily Unavailable
110,Темрюкская,4431,25,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2016-04-18,2019-01-14,3.67:,Delivered
111,Каша из манной крупы,6038,74,Бакалея,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2012-11-12,2017-10-01,4.74:,Temporarily Unavailable
112,Грудинка,3004,682,Мясо,Помогает поддерживать нормальный уровень сахара в крови.,2008-03-10,2020-10-01,0.04:,Cancelled
113,Укроп,4632,984,Овощи,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2015-12-05,2024-09-13,1.86:,On Backorder
114,Сковороды,6860,857,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,1994-07-19,1999-01-15,3.66:,Returned
115,Каймак,4736,372,Молочные продукты,Помогает поддерживать нормальный уровень артериального давления.,1999-01-10,2006-04-02,0.49:,Delivered
116,Чечевица,1714,964,Овощи,"Является источником важных микроэлементов, таких как магний и калий.",1992-03-03,1995-03-11,1.28:,Sold
117,Фахитас с мясом,9151,388,Мясо,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2007-02-15,2012-03-01,0.58:,Temporarily Unavailable
118,Дезодорант,6925,494,Товары для дома,Подходит для использования в качестве замены традиционных молочных продуктов.,2010-04-07,2027-01-01,0.11:,Awaiting Review
119,Куриные субпродукты,7309,958,Мясо,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2004-02-05,2022-01-01,0.45:,Sold
120,Тостер,875,544,Товары для дома,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1994-01-01,2001-02-24,4.94:,Awaiting Payment
121,Укроп,3672,427,Овощи,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",1994-01-25,1998-05-07,0.43:,Temporarily Unavailable
122,Кубай,2255,481,Напитки,"Отличается приятным ароматом, который усиливает аппетит.",2007-02-12,2026-01-16,4.93:,Temporarily Unavailable
123,Копчености,6034,211,Мясо,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1999-01-17,2001-09-01,3.03:,New
124,Кисель ягодный,6414,993,Напитки,Помогает сохранять бодрость и активность в течение дня.,2022-02-08,2025-01-23,2.7:,Out of Stock
125,Мороженое,6762,254,Молочные продукты,Помогает предотвратить дефицит витаминов и минералов в организме.,1995-05-04,2028-06-02,2.06:,Sold
126,Топлёное молоко,7630,635,Молочные продукты,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2011-03-08,2024-09-14,2.87:,In Stock
127,Пакеты для Дня Земли,762,480,Товары для дома,Отличается низким содержанием насыщенных жиров и холестерина.,2004-01-08,2025-01-01,4.3:,Available for Pickup
128,Авокадо,3618,708,Фрукты,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2003-03-01,2005-06-25,3.69:,Shipping
129,Томатная паста,1258,518,Бакалея,"Помогает улучшить состояние волос, ногтей и кожи.",1990-02-02,1994-05-09,3.08:,Awaiting Payment
130,Комсомольская,1222,303,Напитки,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1999-06-02,2019-01-20,3.88:,Sold
131,Пахта,8553,548,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,2012-02-15,2019-07-02,4.18:,Out of Stock
132,Киви,1395,626,Фрукты,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2015-01-19,2021-01-10,0.34:,Out of Stock
133,Пакеты для запекания,6270,720,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2000-02-13,2013-01-06,0.53:,Out of Stock
134,Пакеты для кемпинга,4924,459,Товары для дома,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2022-03-02,2024-01-03,4.45:,Cancelled
135,Пакеты для лекарств,7450,433,Товары для дома,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2020-03-22,2027-02-01,1.25:,Refunded
136,Голландский сыр,1809,797,Молочные продукты,Идеален для перекусов между основными приемами пищи.,2010-01-01,2020-03-19,0.32:,Available for Pickup
137,Орловская,5227,542,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2005-01-22,2030-02-04,0.35:,Temporarily Unavailable
138,Сальтисон,5377,905,Мясо,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2009-07-16,2019-02-05,1.98:,Available for Pickup
139,Рулька,2560,638,Мясо,Может использоваться в детском питании начиная с раннего возраста.,2004-07-06,2006-02-27,4.66:,Backorder
140,Карамбола,9952,705,Фрукты,Может быть использован в выпечке для придания ей особой пышности и аромата.,2009-01-01,2021-03-06,3.22:,Available for Pickup
141,Айва,4042,754,Фрукты,"Помогает улучшить состояние волос, ногтей и кожи.",2003-01-04,2017-10-04,2.45:,Available for Pickup
142,Петрушка корневая,3342,839,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,1995-05-05,2000-01-01,3.5:,Shipping
143,Паприка острая молотая,7589,95,Бакалея,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2015-04-01,2026-01-09,4.16:,Awaiting Review
144,Шалфей сушеный,251,983,Бакалея,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2001-05-07,2017-03-02,0.02:,Awaiting Payment
145,Мацони,3060,987,Молочные продукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2014-11-01,2028-01-14,3.66:,In Stock
146,Мороженое,1404,788,Молочные продукты,Отличается способностью повышать общий тонус и работоспособность.,1995-03-11,2019-03-02,4.95:,Backorder
