product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Помело,3745,801,Фрукты,Помогает поддерживать нормальный уровень сахара в крови.,2006-05-02,2016-09-01,0.2,Pending
2,Лук-порей,4190,638,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2016-03-10,2017-01-04,1.74,Cancelled
3,Сахар,3050,608,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2019-07-03,2030-06-17,3.97,Delivered
4,Свекла,1293,771,Овощи,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2016-05-05,2028-01-03,1.85,In Stock
5,Ливерная колбаса,2736,458,Мясо,Используется в косметологии для ухода за кожей и волосами.,2009-02-21,2028-05-04,4.09,Refunded
6,Половники,9829,81,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2003-06-01,2025-02-05,1.03,Shipping
7,Горох,6196,206,Овощи,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2013-08-02,2029-04-19,3.75,Temporarily Unavailable
8,Белокуриха,5549,212,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1994-05-18,1997-01-04,4.39,Awaiting Payment
9,Карамбола,3655,184,Фрукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1993-02-25,1996-02-25,1.28,Pending
10,Брынза,5233,291,Молочные продукты,Помогает нормализовать артериальное давление и уровень холестерина.,2016-04-01,2018-01-14,0.63,Backorder
11,Батат,8187,307,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2007-01-03,2013-01-19,4.36,On Backorder
12,"Специи (перец, куркума, зира)",175,945,Бакалея,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1991-05-05,2011-07-24,2.8,Out of Stock
13,Морс клюквенный,6034,234,Напитки,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2003-01-20,2028-03-05,1.99,On Backorder
14,Помидор,6607,868,Овощи,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2010-05-10,2014-06-24,2.78,Pending
15,Растительное масло кокосовое,3896,370,Бакалея,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2003-02-06,2010-01-04,0.63,Awaiting Payment
16,Каша из дробленой перловки,548,168,Бакалея,Помогает поддерживать нормальный уровень триглицеридов в крови.,2018-01-01,2028-01-16,1.76,Out of Stock
17,Мешки для мусора,5464,566,Товары для дома,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1992-04-04,2003-03-03,2.47,Available for Pickup
18,Помидор,1696,611,Овощи,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1994-01-22,2007-10-24,3.71,Awaiting Review
19,Ливерная колбаса,530,628,Мясо,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2004-06-07,2011-02-01,4.32,Temporarily Unavailable
20,Салями,1000,821,Мясо,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1997-01-05,2015-01-02,0.89,Returned
21,Яблоко,9374,591,Фрукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1997-01-13,1998-03-03,4.19,Backorder
22,Миргородская,7489,569,Напитки,Прошел сертификацию на соответствие требованиям органических стандартов.,2013-09-02,2027-05-01,0.71,Sold
23,Утиная печень,7817,796,Мясо,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2018-09-16,2019-04-17,1.62,Refunded
24,Свекла,6786,421,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2018-01-03,2027-05-12,4.45,Delivered
25,Курт,6903,270,Молочные продукты,Способствует поддержанию нормальной микрофлоры кишечника.,2004-01-26,2026-01-18,4.16,Refunded
26,Рамбутан,6952,434,Фрукты,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1993-05-27,2015-05-11,1.5,Out of Stock
27,Самса,3233,120,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2010-01-19,2015-02-14,4.7,Awaiting Review
28,Шелковица,3048,299,Фрукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1993-03-20,2018-08-05,3.68,On Backorder
29,Red Bull,3761,341,Напитки,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2018-02-13,2019-01-07,0.01,Awaiting Review
30,Кефир,5074,210,Молочные продукты,Является важным элементом спортивного питания для восстановления после тренировок.,1990-01-01,2017-03-11,2.28,Pending
31,Тархун,3362,158,Напитки,"Подходит для людей всех возрастов, включая детей и пожилых.",2017-01-05,2025-06-04,4.52,Returned
32,Творог,2621,581,Молочные продукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1997-08-07,2004-09-09,1.4,Out of Stock
33,Перец болгарский,6755,768,Овощи,"Подходит для приготовления как горячих, так и холодных блюд.",2020-10-08,2022-04-14,4.02,Cancelled
34,Папайя,2799,428,Фрукты,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2010-01-01,2010-06-12,1.84,Pending
35,Пакеты для тренинга,439,551,Товары для дома,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2005-03-12,2008-02-03,3.89,Awaiting Review
36,Вода,9572,725,Напитки,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2012-07-07,2016-01-01,3.22,Available for Pickup
37,Студень,3397,475,Мясо,Прошел строгий контроль качества на всех этапах производства.,2016-05-02,2017-06-03,1.4,Temporarily Unavailable
38,Плавленые сырки,4747,810,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2013-05-19,2030-02-01,3.84,On Backorder
39,Помидор,2251,654,Овощи,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2008-02-14,2025-02-06,3.58,Out of Stock
40,Пиво безалкогольное,3363,79,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2012-10-02,2015-04-08,3.36,Awaiting Review
41,Калужская,9451,763,Напитки,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2008-07-01,2015-03-02,4.46,Backorder
42,Тульская,6382,672,Напитки,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",1995-03-03,2008-06-06,0.81,Pending
43,Помидор,4262,487,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2007-01-10,2028-06-11,0.15,Shipping
44,Малина,4488,706,Фрукты,Отличается простотой в использовании и хранении.,2006-09-14,2024-03-03,1.48,Delivered
45,Пакеты для Дня отца,5180,426,Товары для дома,Отличается хорошим сочетанием с различными специями и приправами.,1996-01-02,2029-05-22,4.43,Returned
46,Рамбутан,1062,149,Фрукты,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1994-01-06,2021-08-05,2.17,Delivered
47,Ананас,3544,251,Фрукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2022-01-02,2022-02-21,2.62,Awaiting Review
48,Вареники с мясом,5455,21,Мясо,Подходит для использования в качестве замены традиционных молочных продуктов.,2002-04-02,2026-03-12,0.36,Available for Pickup
49,Черника,1156,631,Фрукты,Способствует улучшению работы пищеварительной системы.,2019-02-02,2028-07-07,4.63,Awaiting Payment
50,Кисель ягодный,270,384,Напитки,Отличается высокой питательностью и способен быстро утолить голод.,1991-05-08,2030-03-03,2.7,In Stock
51,Чечевица,9293,617,Овощи,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2016-05-07,2030-03-05,3.83,On Backorder
52,Молоко,6751,376,Молочные продукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2010-06-04,2021-07-04,1.55,Shipping
53,Айран,9116,370,Молочные продукты,Способствует улучшению работы пищеварительной системы.,2000-02-23,2000-03-01,3.65,Delivered
54,Цветная капуста,8653,492,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2018-01-01,2020-02-05,0.48,Backorder
55,Молоко,7770,681,Молочные продукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,1996-03-06,2001-02-04,4.82,Backorder
56,Каша из дробленной перловой крупы,5207,249,Бакалея,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2014-06-03,2023-01-28,2.99,Awaiting Payment
57,Цветная капуста,5691,123,Овощи,Помогает нормализовать артериальное давление и уровень холестерина.,1996-02-17,2029-03-11,1.11,Temporarily Unavailable
58,Саратовская,6635,562,Напитки,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2019-09-10,2027-04-05,2.99,On Backorder
59,Каша из кукурузной муки,7960,239,Бакалея,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2017-04-02,2022-04-12,1.87,Pending
60,Кондиционер для волос,741,624,Товары для дома,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2009-08-01,2016-03-03,2.18,Delivered
61,Карамбола,8234,450,Фрукты,"Отличается длительным сроком годности, что позволяет делать запасы.",2019-01-06,2027-08-03,0.08,New
62,Виноград,2902,630,Фрукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1994-03-04,2003-03-09,2.42,Delivered
63,Лимон,6407,902,Фрукты,Помогает нормализовать артериальное давление и уровень холестерина.,1996-06-05,2014-01-02,3.17,Awaiting Payment
64,Брюква,9262,247,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2019-01-06,2025-02-19,4.16,Out of Stock
65,Персик,4354,6,Фрукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2009-06-14,2012-01-19,2.56,Available for Pickup
66,Творог,9845,851,Молочные продукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2003-05-02,2029-04-03,0.51,In Stock
67,Шейка,4781,46,Мясо,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1992-07-04,2014-04-15,3.95,Pending
68,Маринад для мяса,4150,886,Бакалея,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2000-06-25,2013-05-07,2.24,Pending
69,Хурма,4807,96,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1994-10-14,1996-08-04,0.52,Temporarily Unavailable
70,Индюшатина,1237,352,Мясо,Помогает поддерживать нормальный уровень гемоглобина в крови.,2005-01-02,2021-04-01,1.27,Out of Stock
71,Тульская,299,577,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2021-03-07,2026-03-01,0.88,Awaiting Review
72,Капуста белокочанная,5165,386,Овощи,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1994-02-18,2004-02-11,3.12,Backorder
73,Ананас,1567,910,Фрукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2009-02-21,2011-01-09,1.6,Out of Stock
74,Рагу,4920,424,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,2009-04-01,2018-03-07,1.34,Backorder
75,Ямс,2366,821,Овощи,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2002-02-02,2029-08-08,0.25,Refunded
76,Каша из сорго,8934,123,Бакалея,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1991-01-04,2015-01-15,1.96,Shipping
77,Сливки,3833,432,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1993-01-12,2002-02-05,0.63,Available for Pickup
78,Буррито с мясом,1214,597,Мясо,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",1997-01-01,2014-01-02,4.78,On Backorder
79,Сливки,7312,757,Молочные продукты,Может быть использован в качестве заменителя менее полезных продуктов.,1996-04-25,2015-03-01,1.22,Pending
80,Базилик сушеный,8137,914,Бакалея,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2002-08-10,2017-02-03,0.03,Delivered
81,Сливки,9863,517,Молочные продукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2019-03-18,2020-01-01,2.25,Out of Stock
82,Голландский сыр,7830,549,Молочные продукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2013-07-02,2023-03-26,2.63,Delivered
83,Репа,8714,397,Овощи,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2007-02-10,2022-05-01,4.79,Temporarily Unavailable
84,Кондиционер для белья,443,763,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1998-02-06,2019-03-06,0.56,Awaiting Review
85,Окра,9384,92,Овощи,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2010-11-05,2020-01-04,4.3,Backorder
86,Чизбургеры,7640,784,Мясо,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2016-10-03,2021-03-24,4.37,Backorder
87,Половники,4844,146,Товары для дома,"Помогает улучшить состояние волос, ногтей и кожи.",1992-01-17,2028-07-10,2.66,Returned
88,Сервелат,7720,32,Мясо,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2015-06-03,2024-02-11,3.3,Backorder
89,Горячий шоколад,923,786,Напитки,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2010-04-06,2027-01-09,1.85,Refunded
90,Пакеты для Всемирного дня здоровья,763,884,Товары для дома,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,1998-01-16,2022-01-02,3.8,In Stock
91,Каша из кускуса,9626,73,Бакалея,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2004-07-01,2030-07-05,3.93,Cancelled
92,Гвоздика молотая,3090,163,Бакалея,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2011-08-04,2024-05-23,4.54,Returned
93,Верблюжье молоко,7279,743,Молочные продукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2006-02-21,2007-01-13,4.11,Delivered
94,Бифштекс,602,934,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2005-02-10,2017-02-01,1.16,New
95,Шадринская,6264,959,Напитки,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1997-01-01,2016-04-06,4.94,Cancelled
96,Растительное масло горчичное,3884,973,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2012-07-01,2029-02-02,3.87,Temporarily Unavailable
97,Ромштекс,9556,319,Мясо,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1998-07-08,2015-02-06,2.64,Returned
98,Варенье,1371,61,Бакалея,Помогает укрепить иммунную систему и защитить организм от инфекций.,1990-02-08,2007-03-02,0.11,Pending
99,Кондиционер для волос,2858,414,Товары для дома,Способствует поддержанию нормальной микрофлоры кишечника.,2014-02-01,2020-02-26,3.97,New
100,Одинцовская,150,615,Напитки,"Является источником антиоксидантов, замедляющих процессы старения.",2000-02-14,2027-04-07,3.59,Awaiting Review
101,Пакеты для Всемирного дня книг,5165,910,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,2021-01-08,2030-01-06,0.41,Pending
102,Мате,7422,249,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1992-04-05,2010-05-07,4.29,In Stock
103,Шалфей сушеный,7452,660,Бакалея,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2016-07-18,2021-04-11,0.96,In Stock
104,Каша из дробленной поленты,2638,438,Бакалея,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",1993-10-17,2010-01-03,3.06,Sold
105,Морс клюквенный,1978,901,Напитки,Прошел строгий контроль качества на всех этапах производства.,1994-02-06,1998-01-01,1.47,Sold
106,Пакеты для Всемирного дня воды,3296,676,Товары для дома,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2008-01-05,2022-03-06,0.37,Sold
107,Сметана,6604,943,Молочные продукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2009-02-05,2017-02-02,0.15,Temporarily Unavailable
108,Яблоко,7174,212,Фрукты,Может использоваться в косметических процедурах для увлажнения кожи.,2008-01-17,2030-03-13,4.53,Refunded
109,Квас хлебный,9374,811,Напитки,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2019-01-18,2019-05-14,2.21,On Backorder
110,Нектарин,234,680,Фрукты,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",1995-06-12,1996-02-06,4.08,In Stock
111,Тюменская,5075,348,Напитки,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2010-06-12,2016-01-17,1.96,Pending
112,Пакеты для растений,6769,223,Товары для дома,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1994-02-02,1995-01-15,0.66,Available for Pickup
113,Нафтуся,4990,94,Напитки,"Помогает улучшить состояние волос, ногтей и кожи.",1998-02-01,1998-04-06,1.5,Awaiting Review
114,Карамбола,4711,268,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2012-04-07,2026-03-03,2.27,Delivered
115,Доктор Пеппер,693,387,Напитки,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2007-06-05,2019-02-16,1.16,Returned
116,Черника,7157,362,Фрукты,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2015-02-11,2028-02-19,1.04,Awaiting Review
117,Штопоры,4585,862,Товары для дома,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2022-07-08,2026-02-26,2.3,Awaiting Review
118,Донат магний,3957,54,Напитки,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2004-03-02,2023-09-05,4.03,On Backorder
119,Свекла,4305,950,Овощи,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2013-02-22,2017-03-06,3.77,Backorder
120,Авокадо,9764,247,Фрукты,"Является источником витаминов группы B, необходимых для энергетического обмена.",2022-06-09,2029-01-17,4.12,Delivered
121,Пакеты для инструментов,3427,938,Товары для дома,Является важным элементом спортивного питания для восстановления после тренировок.,2021-02-02,2025-01-02,0.89,Refunded
122,Пакеты для Всемирного дня здоровья,6333,782,Товары для дома,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2015-01-01,2021-01-04,4.04,Sold
123,Брюква,2462,72,Овощи,Является важным компонентом рациона для поддержания гормонального баланса.,2010-03-02,2018-01-11,4.19,Sold
124,Пакеты для библиотеки,443,267,Товары для дома,Отличается высокой питательностью и способен быстро утолить голод.,1991-01-02,2005-03-07,0.95,Temporarily Unavailable
125,Балык,6697,477,Мясо,"Является источником важных нутриентов, необходимых для роста и развития детей.",2001-09-18,2003-01-02,1.88,Pending
126,Нарзан,6008,773,Напитки,Отвечает всем современным стандартам качества и безопасности.,1992-02-01,2010-01-03,2.59,Awaiting Review
127,Брокколи,4794,19,Овощи,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2017-02-05,2023-03-22,4.11,Cancelled
128,Сливки,5386,14,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2017-05-18,2021-03-19,4.4,Available for Pickup
129,Карамбола,6641,129,Фрукты,Отличается простотой в использовании и хранении.,2021-03-07,2024-04-06,4.08,Delivered
130,Тархун,8667,841,Напитки,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1995-09-22,2027-02-18,0.44,Refunded
131,Мацони,537,694,Молочные продукты,Помогает поддерживать нормальный уровень сахара в крови.,2010-03-02,2014-05-14,3.37,Shipping
132,Кружки,5584,924,Товары для дома,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2015-02-02,2027-01-02,3.41,Awaiting Review
133,Пакеты для Дня защиты детей,4352,671,Товары для дома,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1997-12-03,1999-01-04,0.46,Refunded
134,Пакеты для Всемирного дня поэзии,7763,119,Товары для дома,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1992-10-07,1997-01-13,4.11,Shipping
